Date,Open,High,Low,Close,Adj Close,Volume
2019-11-22,31.000000,31.100000,30.500000,30.500000,30.500000,8540
2019-11-25,30.200001,30.200001,29.000000,29.100000,29.100000,15490
2019-11-26,29.200001,29.200001,28.600000,28.700001,28.700001,12320
2019-11-27,28.500000,28.700001,28.299999,28.500000,28.500000,8030
2019-11-28,29.299999,29.900000,28.000000,29.600000,29.600000,10710
2019-11-29,29.100000,29.299999,28.700001,28.799999,28.799999,7460
2019-12-02,28.299999,31.000000,28.299999,30.700001,30.700001,16230
2019-12-03,33.700001,33.700001,32.299999,32.500000,32.500000,35220
2019-12-04,31.100000,31.600000,30.600000,31.000000,31.000000,15400
2019-12-05,30.799999,31.500000,30.500000,30.600000,30.600000,8010
2019-12-06,29.799999,29.799999,29.200001,29.500000,29.500000,10830
2019-12-09,29.900000,31.100000,29.500000,31.100000,31.100000,8780
2019-12-10,31.400000,31.700001,30.400000,31.000000,31.000000,12710
2019-12-11,30.700001,30.799999,30.200001,30.299999,30.299999,8750
2019-12-12,30.000000,30.400000,28.500000,28.700001,28.700001,21330
2019-12-13,28.200001,29.200001,27.299999,27.400000,27.400000,36310
2019-12-16,26.799999,26.799999,26.299999,26.799999,26.799999,12050
2019-12-17,26.200001,26.900000,26.200001,26.500000,26.500000,4300
2019-12-18,26.299999,26.900000,26.299999,26.900000,26.900000,12230
2019-12-19,26.799999,26.900000,26.200001,26.200001,26.200001,15660
2019-12-20,25.100000,26.500000,25.100000,26.400000,26.400000,12420
2019-12-23,26.500000,26.600000,26.400000,26.600000,26.600000,3390
2019-12-24,26.600000,26.600000,26.400000,26.400000,26.400000,2630
2019-12-27,26.299999,27.100000,26.299999,26.799999,26.799999,20240
2019-12-30,27.000000,28.400000,27.000000,27.900000,27.900000,14290
2019-12-31,28.700001,28.700001,26.600000,26.600000,26.600000,13100
2020-01-02,26.000000,26.500000,25.600000,26.299999,26.299999,21330
2020-01-03,27.900000,27.900000,26.299999,26.900000,26.900000,30700
2020-01-06,28.000000,28.000000,26.600000,26.600000,26.600000,16350
2020-01-07,26.799999,27.000000,26.200001,26.400000,26.400000,12140
2020-01-08,26.100000,26.400000,25.299999,26.000000,26.000000,24010
2020-01-09,25.400000,25.600000,25.000000,25.000000,25.000000,15630
2020-01-10,25.000000,25.200001,24.600000,24.900000,24.900000,13450
2020-01-13,24.600000,24.799999,24.299999,24.299999,24.299999,7300
2020-01-14,24.400000,24.500000,23.799999,24.100000,24.100000,17790
2020-01-15,24.100000,24.200001,23.799999,24.100000,24.100000,10760
2020-01-16,23.600000,23.799999,23.400000,23.400000,23.400000,8300
2020-01-17,23.200001,23.799999,23.200001,23.500000,23.500000,14500
2020-01-20,23.600000,24.200001,23.200001,23.700001,23.700001,4770
2020-01-21,24.000000,24.000000,23.200001,23.700001,23.700001,18050
2020-01-22,23.100000,23.700001,23.100000,23.600000,23.600000,13180
2020-01-23,24.299999,24.600000,23.700001,23.700001,23.700001,11880
2020-01-24,23.500000,25.600000,23.500000,25.100000,25.100000,40660
2020-01-27,27.000000,27.700001,26.600000,27.700001,27.700001,190110
2020-01-28,27.200001,27.299999,26.000000,26.200001,26.200001,146760
2020-01-29,25.500000,26.500000,25.500000,26.100000,26.100000,16730
2020-01-30,27.200001,27.700001,25.700001,25.700001,25.700001,146360
2020-01-31,26.299999,29.400000,26.299999,28.600000,28.600000,83010
2020-02-03,27.799999,28.200001,26.900000,27.700001,27.700001,50400
2020-02-04,26.000000,26.500000,25.700001,26.200001,26.200001,40170
2020-02-05,25.100000,25.900000,25.100000,25.100000,25.100000,32210
2020-02-06,25.000000,25.400000,24.700001,24.900000,24.900000,11970
2020-02-07,25.500000,25.799999,24.900000,25.299999,25.299999,31040
2020-02-10,25.500000,25.500000,24.700001,24.900000,24.900000,8310
2020-02-11,24.500000,25.000000,24.299999,24.799999,24.799999,18720
2020-02-12,24.400000,24.600000,23.600000,23.700001,23.700001,25410
